s tmax
0.0 0.0
0.2 5359.602513159347
0.4 10698.053409245642
0.6000000000000001 15994.284554774624
0.8 21227.39445397249
1.0 26376.73074526373
1.2000000000000002 31421.97171455396
1.4000000000000001 36343.206503617366
1.6 41121.01369704847
1.8 45736.53797763775
2.0 50171.5645476546
2.2 54408.59102233831
2.4000000000000004 58430.89651187558
2.6 62222.60761923933
2.8000000000000003 65768.76109343675
3.0 69055.3628909154
3.2 72069.44341205312
3.4000000000000004 74799.10869475392
3.6 77233.58736313008
3.8000000000000003 79363.2731460043
4.0 81179.76279745216
4.2 82675.88926975362
4.4 83845.75000786036
4.6000000000000005 84684.73025374222
4.800000000000001 85189.52126867179
5.0 85358.13340156533
5.2 85189.90261850889
5.4 84685.48912914093
5.6000000000000005 83846.8787662035
5.800000000000001 82677.37646189118
6.0 81181.59318526497
6.2 79365.42772554484
6.4 77236.04339310294
6.6000000000000005 74801.83973003947
6.800000000000001 72072.41934192026
7.0 69058.54998151114
7.2 65772.12203408347
7.4 62226.1015720141
7.6000000000000005 58434.479163890064
7.800000000000001 54412.21464008301
8.0 50175.17803271645
8.200000000000001 45740.08692304752
8.4 41124.440443462016
8.6 36346.45019448201
8.8 31424.968349362134
9.0 26379.413229945043
9.200000000000001 21229.692647427488
9.4 15996.125310503065
9.600000000000001 10699.360610978276
9.8 5360.297103351237
10.0 8.176925803127233e-11
10.200000000000001 -5360.37994552936
10.4 -10699.683792045402
10.600000000000001 -15996.834047293905
10.8 -21230.919882315076
11.0 -26381.279642233356
11.200000000000001 -31427.582374727597
11.4 -36349.9080543469
11.600000000000001 -41128.82618598819
11.8 -45745.472477251424
12.0 -50181.62327701523
12.200000000000001 -54419.76748639332
12.4 -58443.17565821229
12.600000000000001 -62235.966012250225
12.8 -65783.16710564983
13.0 -69070.7769111255
13.200000000000001 -72085.81806976115
13.4 -74816.38910029767
13.600000000000001 -77251.71136276843
13.8 -79382.17159110044
14.0 -81199.3598267873
14.200000000000001 -82696.10260389443
14.4 -83866.49125439819
14.600000000000001 -84705.90522212294
14.8 -85211.03029323861
15.0 -85379.87167134785
15.200000000000001 -85211.76184553906
15.4 -84707.36322033255
15.600000000000001 -83868.66549712335
15.8 -82698.97781743838
16.0 -81202.91569899971
16.2 -79386.38281613949
16.400000000000002 -77256.54769645967
16.6 -74821.81542569441
16.8 -72091.7944724359
17.0 -69077.25876364455
17.2 -65790.10516060996
17.400000000000002 -62243.30650318129
17.6 -58450.860407579225
17.8 -54427.73401985888
18.0 -50189.80494305759
18.2 -45753.79857116312
18.400000000000002 -41137.22207721742
18.6 -36358.295316080446
18.8 -31435.878914551053
19.0 -26389.39983264741
19.200000000000003 -21238.774689829326
19.400000000000002 -16004.331158762274
19.6 -10706.727736856905
19.8 -5366.87221221521
20.0 -5.83914576965617
