n s W(s)
0 0.0 0.0
1 0.01 0.009999916532774072
2 0.02 0.019999332267184543
3 0.03 0.029997746429827412
4 0.04 0.039994658297216636
5 0.05 0.04998956722073996
6 0.06 0.05998197265161101
7 0.07 0.06997137416581646
8 0.08 0.07995727148905676
9 0.09 0.08993916452167967
10 0.1 0.09991655336360465
11 0.11 0.10988893833923763
12 0.12 0.11985582002237435
13 0.13 0.12981669926109124
14 0.14 0.13977107720262252
15 0.15 0.14971845531822234
16 0.16 0.15965833542801092
17 0.17 0.16959021972580277
18 0.18 0.17951361080391642
19 0.19 0.18942801167796458
20 0.2 0.1993329258116224
21 0.21 0.20922785714137343
22 0.22 0.21911231010123278
23 0.23 0.22898578964744404
24 0.24 0.2388478012831508
25 0.25 0.2486978510830412
26 0.26 0.25853544571796244
27 0.27 0.26836009247950693
28 0.28 0.27817129930456674
29 0.29 0.28796857479985527
30 0.3 0.29775142826639645
31 0.31 0.30751936972397803
32 0.32 0.3172719099355697
33 0.33 0.32700856043170345
34 0.34 0.3367288335348159
35 0.35000000000000003 0.3464322423835509
36 0.36 0.35611830095702085
37 0.37 0.3657865240990264
38 0.38 0.3754364275422325
39 0.39 0.3850675279323004
40 0.4 0.3946793428519736
41 0.41000000000000003 0.40427139084511615
42 0.42 0.41384319144070486
43 0.43 0.42339426517676987
44 0.44 0.4329241336242856
45 0.45 0.442432319411011
46 0.46 0.4519183462452751
47 0.47000000000000003 0.4613817389397093
48 0.48 0.4708220234349248
49 0.49 0.4802387268231326
50 0.5 0.48963137737170614
51 0.51 0.49899950454668623
52 0.52 0.5083426390362235
53 0.53 0.5176603127739619
54 0.54 0.5269520589623589
55 0.55 0.5362174120959421
56 0.56 0.5454559079845015
57 0.5700000000000001 0.5546670837762152
58 0.58 0.5638504779807086
59 0.59 0.5730056304920464
60 0.6 0.582132082611652
61 0.61 0.5912293770711604
62 0.62 0.6002970580551974
63 0.63 0.6093346712240852
64 0.64 0.6183417637364768
65 0.65 0.6273178842719119
66 0.66 0.6362625830533002
67 0.67 0.6451754118693241
68 0.68 0.6540559240967657
69 0.6900000000000001 0.6629036747227519
70 0.7000000000000001 0.6717182203669213
71 0.71 0.6804991193035067
72 0.72 0.6892459314833369
73 0.73 0.6979582185557539
74 0.74 0.7066355438904434
75 0.75 0.715277472599182
76 0.76 0.7238835715574946
77 0.77 0.7324534094262255
78 0.78 0.7409865566730179
79 0.79 0.7494825855937052
80 0.8 0.7579410703336079
81 0.81 0.7663615869087419
82 0.8200000000000001 0.7747437132269288
83 0.8300000000000001 0.7830870291088141
84 0.84 0.7913911163087883
85 0.85 0.7996555585358128
86 0.86 0.8078799414741455
87 0.87 0.816063852803969
88 0.88 0.8242068822219195
89 0.89 0.832308621461512
90 0.9 0.8403686643134665
91 0.91 0.8483866066459294
92 0.92 0.8563620464245904
93 0.93 0.8642945837326967
94 0.9400000000000001 0.8721838207909584
95 0.9500000000000001 0.8800293619773482
96 0.96 0.8878308138467923
97 0.97 0.8955877851507543
98 0.98 0.9032998868567061
99 0.99 0.9109667321674886
100 1.0 0.918587936540563
101 1.01 0.9261631177071455
102 1.02 0.93369189569123
103 1.03 0.9411738928284957
104 1.04 0.9486087337850989
105 1.05 0.955996045576348
106 1.06 0.96333545758526
107 1.07 0.9706266015810006
108 1.08 0.977869111737201
109 1.09 0.9850626246501587
110 1.1 0.9922067793569134
111 1.11 0.9993012173532023
112 1.12 1.006345582611291
113 1.1300000000000001 1.0133395215976824
114 1.1400000000000001 1.0202826832906986
115 1.1500000000000001 1.0271747191979368
116 1.16 1.0340152833736014
117 1.17 1.0408040324357037
118 1.18 1.0475406255831392
119 1.19 1.054224724612628
120 1.2 1.0608559939355329
121 1.21 1.0674341005945411
122 1.22 1.0739587142802156
123 1.23 1.0804295073474144
124 1.24 1.0868461548315762
125 1.25 1.09320833446487
126 1.26 1.0995157266922138
127 1.27 1.10576801468715
128 1.28 1.1119648843675929
129 1.29 1.1181060244114323
130 1.3 1.1241911262720004
131 1.31 1.1302198841934006
132 1.32 1.1361919952256958
133 1.33 1.1421071592399565
134 1.34 1.1479650789431657
135 1.35 1.1537654598929843
136 1.36 1.1595080105123718
137 1.37 1.1651924421040645
138 1.3800000000000001 1.1708184688649077
139 1.3900000000000001 1.1763858079000453
140 1.4000000000000001 1.1818941792369608
141 1.41 1.1873433058393748
142 1.42 1.1927329136209923
143 1.43 1.1980627314591048
144 1.44 1.2033324912080423
145 1.45 1.208541927712476
146 1.46 1.2136907788205717
147 1.47 1.2187787853969931
148 1.48 1.2238056913357525
149 1.49 1.2287712435729092
150 1.5 1.2336751920991214
151 1.51 1.2385172899720323
152 1.52 1.2432972933285185
153 1.53 1.2480149613967697
154 1.54 1.2526700565082216
155 1.55 1.2572623441093325
156 1.56 1.2617915927732
157 1.57 1.266257574211025
158 1.58 1.2706600632834153
159 1.59 1.274998838011534
160 1.6 1.2792736795880861
161 1.61 1.2834843723881502
162 1.62 1.2876307039798465
163 1.6300000000000001 1.2917124651348488
164 1.6400000000000001 1.2957294498387304
165 1.6500000000000001 1.2996814553011555
166 1.6600000000000001 1.3035682819659042
