n s W(s)
0 0.0 0.0
1 0.01 0.009999983550187469
2 0.02 0.01999986840169458
3 0.03 0.029999555856815147
4 0.04 0.03999894721979131
5 0.05 0.04999794379778764
6 0.06 0.0599964469018653
7 0.07 0.06999435784795612
8 0.08 0.07999157795783648
9 0.09 0.08998800856010153
10 0.1 0.09998355099113883
11 0.11 0.10997810659610231
12 0.12 0.11997157672988597
13 0.13 0.12996386275809754
14 0.14 0.139954866058032
15 0.15 0.14994448801964486
16 0.16 0.1599326300465258
17 0.17 0.16991919355687135
18 0.18 0.17990407998445843
19 0.19 0.1898871907796167
20 0.2 0.1998684274102015
21 0.21 0.2098476913625666
22 0.22 0.219824884142536
23 0.23 0.2297999072763766
24 0.24 0.2397726623117698
25 0.25 0.24974305081878342
26 0.26 0.2597109743908432
27 0.27 0.2696763346457038
28 0.28 0.27963903322642036
29 0.29 0.2895989718023187
30 0.3 0.29955605206996666
31 0.31 0.30951017575414336
32 0.32 0.31946124460881
33 0.33 0.3294091604180789
34 0.34 0.33935382499718386
35 0.35000000000000003 0.34929514019344804
36 0.36 0.35923300788725354
37 0.37 0.3691673299930099
38 0.38 0.37909800846012165
39 0.39 0.3890249452739564
40 0.4 0.39894804245681276
41 0.41000000000000003 0.4088672020688861
42 0.42 0.4187823262092366
43 0.43 0.42869331701675456
44 0.44 0.43860007667112716
45 0.45 0.4485025073938029
46 0.46 0.4584005114489578
47 0.47000000000000003 0.4682939911444593
48 0.48 0.47818284883283063
49 0.49 0.4880669869122147
50 0.5 0.49794630782733773
51 0.51 0.5078207140704714
52 0.52 0.5176901081823962
53 0.53 0.5275543927533625
54 0.54 0.5374134704240523
55 0.55 0.5472672438865405
56 0.56 0.5571156158852548
57 0.5700000000000001 0.566958489217936
58 0.58 0.5767957667365976
59 0.59 0.5866273513484839
60 0.6 0.5964531460170288
61 0.61 0.6062730537628137
62 0.62 0.6160869776645247
63 0.63 0.6258948208599086
64 0.64 0.6356964865467295
65 0.65 0.6454918779837244
66 0.66 0.6552808984915577
67 0.67 0.6650634514537752
68 0.68 0.6748394403177582
69 0.6900000000000001 0.6846087685956767
70 0.7000000000000001 0.6943713398654408
71 0.71 0.7041270577716529
72 0.72 0.7138758260265597
73 0.73 0.7236175484110006
74 0.74 0.733352128775359
75 0.75 0.7430794710405105
76 0.76 0.7527994791987721
77 0.77 0.7625120573148481
78 0.78 0.7722171095267789
79 0.79 0.7819145400468863
80 0.8 0.7916042531627187
81 0.81 0.8012861532379957
82 0.8200000000000001 0.8109601447135535
83 0.8300000000000001 0.8206261321082864
84 0.84 0.830284020020089
85 0.85 0.8399337131267998
86 0.86 0.8495751161871404
87 0.87 0.859208134041656
88 0.88 0.8688326716136548
89 0.89 0.8784486339101458
90 0.9 0.8880559260227776
91 0.91 0.8976544531287737
92 0.92 0.9072441204918693
93 0.93 0.9168248334632463
94 0.9400000000000001 0.9263964974824673
95 0.9500000000000001 0.9359590180784091
96 0.96 0.9455123008701949
97 0.97 0.9550562515681259
98 0.98 0.9645907759746123
99 0.99 0.9741157799851025
100 1.0 0.9836311695890124
101 1.01 0.9931368508706525
102 1.02 1.0026327300101565
103 1.03 1.0121187132844054
104 1.04 1.0215947070679532
105 1.05 1.0310606178339525
106 1.06 1.0405163521550753
107 1.07 1.0499618167044364
108 1.08 1.0593969182565135
109 1.09 1.0688215636880698
110 1.1 1.0782356599790706
111 1.11 1.087639114213602
112 1.12 1.0970318335807885
113 1.1300000000000001 1.1064137253757096
114 1.1400000000000001 1.1157846970003127
115 1.1500000000000001 1.1251446559643297
116 1.16 1.1344935098861877
117 1.17 1.143831166493923
118 1.18 1.1531575336260889
119 1.19 1.1624725192326677
120 1.2 1.171776031375979
121 1.21 1.1810679782315863
122 1.22 1.1903482680892037
123 1.23 1.1996168093536006
124 1.24 1.2088735105455073
125 1.25 1.2181182803025163
126 1.26 1.2273510273799841
127 1.27 1.2365716606519332
128 1.28 1.2457800891119506
129 1.29 1.2549762218740854
130 1.3 1.2641599681737465
131 1.31 1.2733312373685999
132 1.32 1.2824899389394593
133 1.33 1.2916359824911856
134 1.34 1.3007692777535727
135 1.35 1.3098897345822433
136 1.36 1.318997262959535
137 1.37 1.3280917729953934
138 1.3800000000000001 1.337173174928254
139 1.3900000000000001 1.3462413791259313
140 1.4000000000000001 1.3552962960865034
141 1.41 1.3643378364391945
142 1.42 1.3733659109452572
143 1.43 1.3823804304988536
144 1.44 1.3913813061279352
145 1.45 1.4003684489951194
146 1.46 1.4093417703985682
147 1.47 1.4183011817728621
148 1.48 1.427246594689877
149 1.49 1.4361779208596521
150 1.5 1.4450950721312668
151 1.51 1.4539979604937077
152 1.52 1.4628864980767373
153 1.53 1.471760597151762
154 1.54 1.4806201701326978
155 1.55 1.4894651295768355
156 1.56 1.4982953881857026
157 1.57 1.5071108588059248
158 1.58 1.5159114544300876
159 1.59 1.5246970881975945
160 1.6 1.533467673395524
161 1.61 1.5422231234594845
