n s W(s)
0 0.0 0.0
1 0.01 0.009999975693934156
2 0.02 0.019999805551948795
3 0.03 0.029999343740502154
4 0.04 0.039998444430807946
5 0.05 0.049996961801212964
6 0.06 0.059994750039574746
7 0.07 0.06999166334563882
8 0.08 0.07998755593341603
9 0.09 0.08998228203355958
10 0.1 0.09997569589574176
11 0.11 0.10996765179103048
12 0.12 0.1199580040142654
13 0.13 0.1299466068864339
14 0.14 0.13993331475704648
15 0.15 0.14991798200651169
16 0.16 0.15990046304851102
17 0.17 0.16988061233237264
18 0.18 0.17985828434544526
19 0.19 0.18983333361547122
20 0.2 0.19980561471295857
21 0.21 0.2097749822535533
22 0.22 0.21974129090041034
23 0.23 0.22970439536656403
24 0.24 0.2396641504172977
25 0.25 0.2496204108725131
26 0.26 0.2595730316090983
27 0.27 0.26952186756329477
28 0.28 0.27946677373306444
29 0.29 0.28940760518045505
30 0.3 0.2993442170339646
31 0.31 0.3092764644909053
32 0.32 0.31920420281976625
33 0.33 0.329127287362575
34 0.34 0.3390455735372579
35 0.35000000000000003 0.3489589168400002
36 0.36 0.3588671728476035
37 0.37 0.36877019721984405
38 0.38 0.37866784570182754
39 0.39 0.38855997412634447
40 0.4 0.39844643841622324
41 0.41000000000000003 0.40832709458668265
42 0.42 0.41820179874768226
43 0.43 0.428070407106272
44 0.44 0.43793277596894015
45 0.45 0.44778876174395965
46 0.46 0.45763822094373335
47 0.47000000000000003 0.46748101018713734
48 0.48 0.477316986201863
49 0.49 0.48714600582675793
50 0.5 0.4969679260141631
51 0.51 0.5067826038322522
52 0.52 0.5165898964673651
53 0.53 0.5263896612263425
54 0.54 0.5361817555388576
55 0.55 0.5459660369597468
56 0.56 0.5557423631713367
57 0.5700000000000001 0.5655105919857727
58 0.58 0.5752705813473409
59 0.59 0.585022189334793
60 0.6 0.5947652741636661
61 0.61 0.6044996941886008
62 0.62 0.6142253079056594
63 0.63 0.6239419739546391
64 0.64 0.6336495511213851
65 0.65 0.6433478983401005
66 0.66 0.653036874695656
67 0.67 0.6627163394258939
68 0.68 0.6723861519239329
69 0.6900000000000001 0.6820461717404707
70 0.7000000000000001 0.6916962585860807
71 0.71 0.7013362723335114
72 0.72 0.7109660730199797
73 0.73 0.7205855208494633
74 0.74 0.7301944761949902
75 0.75 0.7397927996009261
76 0.76 0.7493803517852605
77 0.77 0.7589569936418862
78 0.78 0.7685225862428813
79 0.79 0.7780769908407854
80 0.8 0.7876200688708743
81 0.81 0.7971516819534312
82 0.8200000000000001 0.8066716918960173
83 0.8300000000000001 0.8161799606957362
84 0.84 0.8256763505414988
85 0.85 0.8351607238162845
86 0.86 0.8446329430993976
87 0.87 0.8540928711687239
88 0.88 0.863540371002983
89 0.89 0.8729753057839761
90 0.9 0.8823975388988339
91 0.91 0.8918069339422597
92 0.92 0.9012033547187696
93 0.93 0.9105866652449295
94 0.9400000000000001 0.9199567297515899
95 0.9500000000000001 0.9293134126861168
96 0.96 0.9386565787146196
97 0.97 0.9479860927241759
98 0.98 0.9573018198250535
99 0.99 0.966603625352928
100 1.0 0.975891374871098
101 1.01 0.9851649341726978
102 1.02 0.9944241692829041
103 1.03 1.0036689464611435
104 1.04 1.0128991322032912
105 1.05 1.0221145932438707
106 1.06 1.0313151965582499
107 1.07 1.0405008093648285
108 1.08 1.0496712991272303
109 1.09 1.0588265335564835
110 1.1 1.0679663806132038
111 1.11 1.0770907085097692
112 1.12 1.086199385712495
113 1.1300000000000001 1.0952922809438028
114 1.1400000000000001 1.1043692631843853
115 1.1500000000000001 1.11343020167537
116 1.16 1.1224749659204765
117 1.17 1.1315034256881713
118 1.18 1.140515451013818
119 1.19 1.1495109122018243
120 1.2 1.1584896798277853
121 1.21 1.1674516247406217
122 1.22 1.1763966180647154
123 1.23 1.1853245312020397
124 1.24 1.1942352358342867
125 1.25 1.2031286039249902
126 1.26 1.2120045077216437
127 1.27 1.2208628197578162
128 1.28 1.229703412855262
129 1.29 1.2385261601260267
130 1.3 1.24733093497455
131 1.31 1.2561176110997627
132 1.32 1.2648860624971818
133 1.33 1.2736361634609974
134 1.34 1.2823677885861597
135 1.35 1.2910808127704587
136 1.36 1.2997751112166003
137 1.37 1.3084505594342783
138 1.3800000000000001 1.3171070332422412
139 1.3900000000000001 1.3257444087703563
140 1.4000000000000001 1.3343625624616666
141 1.41 1.3429613710744441
142 1.42 1.3515407116842426
143 1.43 1.3601004616859365
144 1.44 1.3686404987957665
145 1.45 1.37716070105337
146 1.46 1.3856609468238164
147 1.47 1.3941411147996285
148 1.48 1.4026010840028074
149 1.49 1.411040733786846
150 1.5 1.4194599438387432
151 1.51 1.4278585941810076
152 1.52 1.4362365651736622
153 1.53 1.44459373751624
154 1.54 1.452929992249777
155 1.55 1.461245210758797
156 1.56 1.4695392747732967
157 1.57 1.4778120663707217
158 1.58 1.4860634679779383
159 1.59 1.4942933623732
160 1.6 1.5025016326881109
161 1.61 1.510688162409582
162 1.62 1.5188528353817832
163 1.6300000000000001 1.5269955358080893
164 1.6400000000000001 1.5351161482530202
165 1.6500000000000001 1.5432145576441811
166 1.6600000000000001 1.551290649274188
167 1.67 1.5593443088025982
168 1.68 1.5673754222578267
169 1.69 1.5753838760390646
170 1.7 1.583369556918185
171 1.71 1.5913323520416511
172 1.72 1.5992721489324118
173 1.73 1.6071888354917974
174 1.74 1.6150823000014047
175 1.75 1.6229524311249839
176 1.76 1.6307991179103103
177 1.77 1.6386222497910587
178 1.78 1.646421716588669
179 1.79 1.6541974085142057
180 1.8 1.6619492161702123
181 1.81 1.669677030552561
182 1.82 1.6773807430522947
183 1.83 1.6850602454574657
184 1.84 1.692715429954966
185 1.85 1.7003461891323555
186 1.86 1.70795241597968
187 1.87 1.715534003891287
188 1.8800000000000001 1.7230908466676331
189 1.8900000000000001 1.7306228385170879
190 1.9000000000000001 1.7381298740577311
191 1.9100000000000001 1.745611848319141
192 1.92 1.7530686567441824
193 1.93 1.760500195190784
194 1.94 1.7679063599337124
195 1.95 1.7752870476663378
196 1.96 1.7826421555023961
197 1.97 1.7899715809777437
198 1.98 1.797275222052106
199 1.99 1.8045529771108204
200 2.0 1.8118047449665728
201 2.0100000000000002 1.8190304248611293
202 2.02 1.8262299164670575
203 2.0300000000000002 1.833403119889448
