n w det
0 0.0 7.081419755458815e-09
1 0.01 7.022169109862277e-09
2 0.02 6.844417173072492e-09
3 0.03 6.54816394508951e-09
4 0.04 6.133409425913398e-09
5 0.05 5.600153615544097e-09
6 0.06 4.94839651398164e-09
7 0.07 4.178138121225516e-09
8 0.08 3.2893784372771755e-09
9 0.09 2.2821174621346114e-09
10 0.1 1.1563551958004572e-09
11 0.11 -8.79083617289454e-11
12 0.12 -1.4506732104502945e-09
13 0.13 -2.9319393503657056e-09
14 0.14 -4.531706781470212e-09
15 0.15 -6.2499755037733235e-09
16 0.16 -8.086745517267527e-09
17 0.17 -1.0042016821954634e-08
18 0.18 -1.2115789417834356e-08
19 0.19 -1.4308063304907036e-08
20 0.2 -1.661883848317877e-08
21 0.21 -1.9048114952632055e-08
22 0.22 -2.159589271328855e-08
23 0.23 -2.4262171765136075e-08
24 0.24 -2.7046952108175728e-08
25 0.25 -2.995023374240762e-08
26 0.26 -3.297201666783142e-08
27 0.27 -3.611230088445666e-08
28 0.28 -3.937108639226978e-08
29 0.29 -4.274837319126765e-08
30 0.3 -4.624416128147846e-08
31 0.31 -4.9858450662872725e-08
32 0.32 -5.3591241335448626e-08
33 0.33 -5.74425332992279e-08
34 0.34 -6.141232655419412e-08
35 0.35000000000000003 -6.550062110036581e-08
36 0.36 -6.970741693772544e-08
37 0.37 -7.403271406627213e-08
38 0.38 -7.84765124860209e-08
39 0.39 -8.303881219693893e-08
40 0.4 -8.771961319908753e-08
41 0.41000000000000003 -9.251891549241017e-08
42 0.42 -9.74367190769151e-08
43 0.43 -1.0247302395264636e-07
44 0.44 -1.0762783011952938e-07
45 0.45 -1.129011375776242e-07
46 0.46 -1.1829294632690264e-07
47 0.47000000000000003 -1.238032563673979e-07
48 0.48 -1.2943206769908779e-07
49 0.49 -1.3517938032195712e-07
50 0.5 -1.4104519423603043e-07
51 0.51 -1.4702950944126944e-07
52 0.52 -1.531323259376825e-07
53 0.53 -1.5935364372535808e-07
54 0.54 -1.6569346280420988e-07
55 0.55 -1.721517831741984e-07
56 0.56 -1.7872860483545766e-07
57 0.5700000000000001 -1.8542392778781773e-07
58 0.58 -1.9223775203147096e-07
59 0.59 -1.9917007756627513e-07
60 0.6 -2.0622090439226326e-07
61 0.61 -2.133902325094463e-07
62 0.62 -2.206780619178361e-07
63 0.63 -2.2808439261739018e-07
64 0.64 -2.3560922460816309e-07
65 0.65 -2.432525578901401e-07
66 0.66 -2.510143924632632e-07
67 0.67 -2.588947283275802e-07
68 0.68 -2.668935654831639e-07
69 0.6900000000000001 -2.7501090392994e-07
70 0.7000000000000001 -2.8324674366782766e-07
71 0.71 -2.916010846969728e-07
72 0.72 -3.0007392701724947e-07
73 0.73 -3.0866527062876613e-07
74 0.74 -3.173751155314214e-07
75 0.75 -3.2620346172536985e-07
76 0.76 -3.3515030921041425e-07
77 0.77 -3.44215657986713e-07
78 0.78 -3.5339950805420184e-07
79 0.79 -3.627018594128782e-07
80 0.8 -3.721227120626955e-07
81 0.81 -3.8166206600370844e-07
82 0.8200000000000001 -3.913199212359708e-07
83 0.8300000000000001 -4.010962777593869e-07
84 0.84 -4.1099113557411527e-07
85 0.85 -4.2100449467988155e-07
86 0.86 -4.3113635507688285e-07
87 0.87 -4.4138671676508167e-07
88 0.88 -4.5175557974448523e-07
89 0.89 -4.6224294401509135e-07
90 0.9 -4.728488095768598e-07
91 0.91 -4.835731764299076e-07
92 0.92 -4.944160445741517e-07
93 0.93 -5.053774140093846e-07
94 0.9400000000000001 -5.16457284735955e-07
95 0.9500000000000001 -5.276556567537415e-07
96 0.96 -5.389725300627147e-07
97 0.97 -5.504079046629226e-07
98 0.98 -5.619617805541635e-07
99 0.99 -5.736341577366023e-07
100 1.0 -5.854250362104919e-07
