n s W(s)
0 0.0 -1.0634737324493901e-12
1 0.01 0.009459529969380043
2 0.02 0.01891908005164966
3 0.03 0.028378667255751555
4 0.04 0.037838305744348766
5 0.05 0.04729800641112636
6 0.06 0.05675777728790177
7 0.07 0.06621762319236701
8 0.08 0.07567754607682708
9 0.09 0.08513754497448289
10 0.1 0.0945976158729831
11 0.11 0.10405775199200207
12 0.12 0.11351794359880607
13 0.13 0.12297817818341272
14 0.14 0.13243844044684572
15 0.15 0.14189871224555262
16 0.16 0.15135897281551536
17 0.17 0.16081919859598415
18 0.18 0.17027936331555793
19 0.19 0.17973943817332128
20 0.2 0.18919939164082322
21 0.21 0.19865918964466545
22 0.22 0.20811879548618606
23 0.23 0.21757817007027214
24 0.24 0.22703727167245447
25 0.25 0.23649605611301894
26 0.26 0.24595447676500726
27 0.27 0.25541248463787625
28 0.28 0.26487002824265815
29 0.29 0.27432705385252376
30 0.3 0.28378350530527285
31 0.31 0.2932393241450697
32 0.32 0.3026944496711508
33 0.33 0.31214881888681134
34 0.34 0.3216023666210006
35 0.35000000000000003 0.3310550254130433
36 0.36 0.34050672572947605
37 0.37 0.3499573957891613
38 0.38 0.3594069618380402
39 0.39 0.3688553478015919
40 0.4 0.37830247576994225
41 0.41000000000000003 0.3877482656626725
42 0.42 0.39719263535216953
43 0.43 0.40663550086409117
44 0.44 0.4160767760843527
45 0.45 0.4255163730661238
46 0.46 0.43495420199874246
47 0.47000000000000003 0.44439017102924794
48 0.48 0.45382418656139834
49 0.49 0.46325615312806434
50 0.5 0.4726859733628075
51 0.51 0.48211354830389297
52 0.52 0.4915387770475945
53 0.53 0.5009615569706369
54 0.54 0.510381783824748
55 0.55 0.519799351669576
56 0.56 0.5292141526872243
57 0.5700000000000001 0.5386260777167422
58 0.58 0.5480350157133529
59 0.59 0.5574408542742191
60 0.6 0.5668434791914478
61 0.61 0.5762427748790913
62 0.62 0.5856386241056555
63 0.63 0.5950309082048904
64 0.64 0.6044195070672629
65 0.65 0.6138042989670112
66 0.66 0.6231851608960852
67 0.67 0.6325619683331922
