s W_tmm_classic_t W_tmm_eigenvectors_t W_wrm_t
15.4 -84707.36321636099 -81951.89616539169 -90278.79537456133
15.600000000000001 -83868.66549319116 -80820.74862981177 -89401.31950930133
15.8 -82698.97781356111 -79350.61732970731 -88167.4275439165
16.0 -81202.91569519263 -77550.87250935343 -86581.71264929627
16.2 -79386.38281241764 -75432.80805879693 -84650.2633538132
16.400000000000002 -77256.5476928377 -73009.55857678855 -82380.65263918391
16.6 -74821.81542218664 -70295.99990678036 -79781.91921882122
16.8 -72091.79446905616 -67308.6355186178 -76864.54047711496
17.0 -69077.2587604062 -64065.471408486555 -73640.39652085293
17.2 -65790.10515752577 -60585.88240545335 -70122.72476086207
17.400000000000002 -62243.30650026337 -56890.472899033004 -66326.06441079453
17.6 -58450.86040483927 -53000.93503628367 -62266.19025590422
17.8 -54427.73401730761 -48939.907379873046 -57960.03500803665
18.0 -50189.80494070507 -44730.83687447936 -53425.59952528193
18.2 -45753.798569018574 -40397.84674492342 -48681.85013585992
18.400000000000002 -41137.22207528935 -35965.61265548925 -43748.6022628264
18.6 -36358.29531437642 -31459.249108304994 -38646.38950295461
18.8 -31435.878913077875 -26904.20766370724 -33396.31726712623
19.0 -26389.39983141102 -22326.188142964624 -28019.90004087292
19.200000000000003 -21238.774688834324 -17751.06354023168 -22538.881273057486
19.400000000000002 -16004.331158012676 -13204.818943116788 -16975.034847108967
19.6 -10706.727736355795 -8713.504356482841 -11349.947033260221
19.8 -5366.872211964335 -4303.200957898701 -5684.777762523059
20.0 -5.839145770296454 1.594912654673311e-11 -2.6594812128914445e-08
