n s W(s)
0 0.0 -1.2265903904164655e-12
1 0.01 0.009753029478173941
2 0.02 0.019505974299635104
3 0.03 0.029258749600245687
4 0.04 0.039011270303341894
5 0.05 0.048763451114799794
6 0.06 0.05851520653139036
7 0.07 0.06826645083938132
8 0.08 0.07801709811933843
9 0.09 0.08776706225161912
10 0.1 0.09751625691498145
11 0.11 0.10726459559161206
12 0.12 0.11701199157174158
13 0.13 0.12675835795288348
14 0.14 0.13650360764674874
15 0.15 0.14624765337860457
16 0.16 0.15599040769282402
17 0.17 0.16573178295447777
18 0.18 0.17547169135031915
19 0.19 0.1852100448988041
20 0.2 0.19494675544359508
21 0.21 0.20468173466077833
22 0.22 0.2144148940657753
23 0.23 0.22414614500793517
24 0.24 0.23387539867843565
25 0.25 0.2436025661136536
26 0.26 0.2533275581952643
27 0.27 0.26305028565401356
28 0.28 0.27277065907372444
29 0.29 0.28248858889288897
30 0.3 0.2922039854054046
31 0.31 0.30191675876737456
32 0.32 0.311626818998465
33 0.33 0.321334075983875
34 0.34 0.33103843947573397
35 0.35000000000000003 0.34073981909718176
36 0.36 0.35043812434652244
37 0.37 0.36013326459852335
38 0.38 0.3698251491068225
39 0.39 0.37951368700538035
40 0.4 0.38919878731501
41 0.41000000000000003 0.39888035894204865
42 0.42 0.40855831068179294
43 0.43 0.41823255122236214
44 0.44 0.42790298914831393
45 0.45 0.4375695329376246
46 0.46 0.4472320909749219
47 0.47000000000000003 0.4568905715398741
48 0.48 0.46654488282252027
49 0.49 0.47619493291640635
50 0.5 0.4858406298296334
51 0.51 0.49548188147949634
52 0.52 0.5051185957005462
53 0.53 0.5147506802426185
54 0.54 0.5243780427784239
55 0.55 0.5340005909020391
56 0.56 0.5436182321316405
57 0.5700000000000001 0.5532308739140284
58 0.58 0.5628384236257933
59 0.59 0.572440788577433
60 0.6 0.5820378760107614
61 0.61 0.5916295931078608
62 0.62 0.6012158469901943
63 0.63 0.6107965447182497
64 0.64 0.6203715933021154
65 0.65 0.6299408996921612
66 0.66 0.6395043707932766
67 0.67 0.6490619134609803
68 0.68 0.6586134345007757
69 0.6900000000000001 0.6681588406800181
70 0.7000000000000001 0.6776980387208127
71 0.71 0.6872309353053758
72 0.72 0.6967574370822716
73 0.73 0.7062774506625535
74 0.74 0.7157908826270685
75 0.75 0.7252976395253459
76 0.76 0.734797627878006
77 0.77 0.7442907541825168
78 0.78 0.7537769249117394
79 0.79 0.7632560465167497
80 0.8 0.7727280254312507
81 0.81 0.7821927680722807
82 0.8200000000000001 0.7916501808402501
83 0.8300000000000001 0.8011001701263538
84 0.84 0.8105426423087412
85 0.85 0.8199775037600467
86 0.86 0.8294046608440562
87 0.87 0.8388240199248997
88 0.88 0.848235487361757
89 0.89 0.8576389695176614
90 0.9 0.8670343727560414
91 0.91 0.8764216034450829
92 0.92 0.8858005679619323
93 0.93 0.8951711726905058
94 0.9400000000000001 0.9045333240276365
95 0.9500000000000001 0.9138869283837776
96 0.96 0.9232318921824954
97 0.97 0.9325681218669866
98 0.98 0.9418955238987756
99 0.99 0.9512140047600939
100 1.0 0.9605234709589707
101 1.01 0.9698238290262369
102 1.02 0.9791149855230916
103 1.03 0.9883968470360953
104 1.04 0.9976693201896163
105 1.05 1.0069323116347357
106 1.06 1.0161857280628954
107 1.07 1.0254294762014506
108 1.08 1.0346634628153133
109 1.09 1.0438875947142119
110 1.1 1.0531017787485908
111 1.11 1.0623059218141897
112 1.12 1.0714999308563744
113 1.1300000000000001 1.0806837128653033
114 1.1400000000000001 1.0898571748859478
115 1.1500000000000001 1.0990202240158062
116 1.16 1.1081727674039517
117 1.17 1.1173147122593043
118 1.18 1.1264459658476493
119 1.19 1.1355664354951163
120 1.2 1.1446760285916096
121 1.21 1.1537746525879538
122 1.22 1.1628622150050614
123 1.23 1.1719386234268736
124 1.24 1.1810037855104376
125 1.25 1.1900576089829524
126 1.26 1.1991000016429876
127 1.27 1.208130871367775
128 1.28 1.2171501261068887
129 1.29 1.2261576738912545
130 1.3 1.235153422831198
131 1.31 1.2441372811188298
132 1.32 1.2531091570294581
133 1.33 1.2620689589262266
134 1.34 1.2710165952551975
135 1.35 1.2799519745537804
136 1.36 1.2888750054531943
137 1.37 1.2977855966694634
138 1.3800000000000001 1.306683657019919
139 1.3900000000000001 1.3155690954125134
140 1.4000000000000001 1.3244418208545223
141 1.41 1.3333017424544664
142 1.42 1.34214876941655
143 1.43 1.3509828110513293
144 1.44 1.359803776772333
145 1.45 1.368611576097143
146 1.46 1.3774061186536226
147 1.47 1.3861873141761816
148 1.48 1.394955072509367
149 1.49 1.4037093036121373
150 1.5 1.4124499175554899
151 1.51 1.4211768245248972
152 1.52 1.4298899348249616
153 1.53 1.4385891588781377
154 1.54 1.4472744072238193
155 1.55 1.4559455905282714
156 1.56 1.4646026195764392
157 1.57 1.4732454052798687
158 1.58 1.4818738586753604
159 1.59 1.4904878909291277
160 1.6 1.499087413334724
161 1.61 1.5076723373167766
162 1.62 1.516242574433571
163 1.6300000000000001 1.5247980363754792
164 1.6400000000000001 1.5333386349690699
165 1.6500000000000001 1.5418642821765633
166 1.6600000000000001 1.5503748900998726
167 1.67 1.5588703709783331
168 1.68 1.5673506371950516
169 1.69 1.5758156012742823
170 1.7 1.5842651758834716
171 1.71 1.5926992738374501
172 1.72 1.6011178080947506
173 1.73 1.6095206917666385
174 1.74 1.6179078381104688
175 1.75 1.6262791605348283
176 1.76 1.6346345726025042
177 1.77 1.6429739880301888
178 1.78 1.6512973206868065
179 1.79 1.6596044846019478
180 1.8 1.6678953939605972
181 1.81 1.6761699631072062
182 1.82 1.6844281065470916
183 1.83 1.692669738948858
184 1.84 1.7008947751431656
185 1.85 1.709103130126051
186 1.86 1.717294719058069
187 1.87 1.725469457269222
188 1.8800000000000001 1.7336272602564424
189 1.8900000000000001 1.741768043687138
190 1.9000000000000001 1.749891723401145
191 1.9100000000000001 1.7579982154074312
192 1.92 1.766087435893791
193 1.93 1.7741593012185692
194 1.94 1.7822137279184478
195 1.95 1.790250632708176
196 1.96 1.7982699324797675
197 1.97 1.8062715443057602
198 1.98 1.8142553854406103
199 1.99 1.8222213733212804
200 2.0 1.8301694255679841
201 2.0100000000000002 1.8380994599872462
202 2.02 1.846011394569123
203 2.0300000000000002 1.853905147493446
204 2.04 1.8617806371260368
205 2.05 1.869637782027274
206 2.06 1.877476500942901
207 2.07 1.885296712813279
208 2.08 1.8930983367743952
209 2.09 1.900881292150844
210 2.1 1.9086454984693493
211 2.11 1.9163908754482204
212 2.12 1.9241173430070404
213 2.13 1.9318248212621167
214 2.14 1.9395132305320555
215 2.15 1.947182491334111
216 2.16 1.9548325243893778
217 2.17 1.96246325062409
218 2.18 1.970074591165858
219 2.19 1.977666467349934
220 2.2 1.9852388007164343
221 2.21 1.9927915130162823
222 2.22 2.0003245262073754
223 2.23 2.007837762457939
224 2.24 2.0153311441456196
225 2.25 2.0228045938637322
226 2.2600000000000002 2.0302580344167254
227 2.27 2.037691388821596
228 2.2800000000000002 2.045104580313197
229 2.29 2.0524975323406984
230 2.3000000000000003 2.0598701685728216
231 2.31 2.067222412893333
232 2.32 2.0745541894088575
233 2.33 2.081865422442725
234 2.34 2.0891560365432333
235 2.35 2.0964259564761463
236 2.36 2.1036751072366364
237 2.37 2.110903414038802
238 2.38 2.1181108023245017
239 2.39 2.1252971977604744
240 2.4 2.132462526241408
241 2.41 2.1396067138910304
242 2.42 2.146729687060084
243 2.43 2.1538313723303055
244 2.44 2.160911696514848
245 2.45 2.167970586655411
246 2.46 2.175007970031796
247 2.47 2.1820237741536204
248 2.48 2.1890179267646346
249 2.49 2.1959903558484797
250 2.5 2.2029409896204832
251 2.5100000000000002 2.2098697565342107
252 2.52 2.2167765852823607
253 2.5300000000000002 2.223661404796573
254 2.54 2.230524144249099
255 2.5500000000000003 2.2373647330502706
256 2.56 2.244183100854407
257 2.57 2.2509791775577845
258 2.58 2.2577528932990063
259 2.59 2.2645041784621256
260 2.6 2.271232963675356
261 2.61 2.277939179813277
262 2.62 2.284622757996388
263 2.63 2.291283629593746
264 2.64 2.2979217262219187
265 2.65 2.3045369797463024
266 2.66 2.3111293222817615
267 2.67 2.3176986861969127
268 2.68 2.324245004108235
269 2.69 2.3307682088847876
270 2.7 2.3372682336513115
271 2.71 2.343745011784094
272 2.72 2.3501984769144286
273 2.73 2.3566285629290107
274 2.74 2.3630352039706572
275 2.75 2.369418334440173
276 2.7600000000000002 2.375777888994488
277 2.77 2.3821138025488438
278 2.7800000000000002 2.3884260102778363
279 2.79 2.3947144476169626
280 2.8000000000000003 2.400979050259796
281 2.81 2.4072197541649523
282 2.82 2.413436495547817
283 2.83 2.4196292108921256
284 2.84 2.4257978369391893
285 2.85 2.431942310698574
286 2.86 2.4380625694445115
287 2.87 2.444158550714018
288 2.88 2.4502301923123717
289 2.89 2.4562774323092214
290 2.9 2.462300209045708
291 2.91 2.4682984611268566
292 2.92 2.474272127429881
293 2.93 2.4802211470972324
294 2.94 2.486145459546318
295 2.95 2.4920450044619606
296 2.96 2.4979197218018
297 2.97 2.5037695517942176
298 2.98 2.509594434942109
299 2.99 2.5153943120187208
300 3.0 2.521169124073033
301 3.0100000000000002 2.5269188124290736
302 3.02 2.532643318683352
303 3.0300000000000002 2.538342584712794
304 3.04 2.5440165526644023
305 3.0500000000000003 2.549665164966374
306 3.06 2.555288364323367
307 3.0700000000000003 2.5608860937161175
308 3.08 2.5664582964064344
309 3.09 2.5720049159349117
310 3.1 2.577525896120129
311 3.11 2.583021181061987
312 3.12 2.588490715142207
313 3.13 2.5939344430212934
314 3.14 2.5993523096445834
315 3.15 2.60474426023875
316 3.16 2.610110240311723
317 3.17 2.6154501956566243
318 3.18 2.620764072350873
319 3.19 2.6260518167556555
320 3.2 2.631313375517564
321 3.21 2.636548695569079
322 3.22 2.6417577241262364
323 3.23 2.6469404086964445
324 3.24 2.652096697069247
325 3.25 2.6572265373247426
326 3.2600000000000002 2.662329877829862
327 3.27 2.6674066672408543
328 3.2800000000000002 2.672456854502723
329 3.29 2.6774803888482275
330 3.3000000000000003 2.682477219802937
331 3.31 2.6874472971807997
332 3.3200000000000003 2.6923905710867757
333 3.33 2.697306991917902
334 3.34 2.7021965103625405
335 3.35 2.7070590774014285
336 3.36 2.711894644306316
337 3.37 2.71670316264613
338 3.38 2.7214845842770217
339 3.39 2.7262388613545845
340 3.4 2.730965946325565
341 3.41 2.7356657919343803
342 3.42 2.740338351215563
343 3.43 2.744983577505252
344 3.44 2.7496014244306757
345 3.45 2.7541918459181502
346 3.46 2.758754796190196
347 3.47 2.7632902297645074
348 3.48 2.767798101458471
349 3.49 2.772278366387198
350 3.5 2.776730979962931
351 3.5100000000000002 2.781155897896987
352 3.52 2.7855530762003298
353 3.5300000000000002 2.7899224711826776
354 3.54 2.79426403945239
355 3.5500000000000003 2.7985777379188903
356 3.56 2.80286352379267
357 3.5700000000000003 2.8071213545831526
358 3.58 2.8113511881024777
359 3.59 2.8155529824636503
360 3.6 2.8197266960813394
361 3.61 2.8238722876713354
362 3.62 2.8279897162516257
363 3.63 2.832078941146005
364 3.64 2.8361399219783365
365 3.65 2.8401726186754246
366 3.66 2.8441769914695563
367 3.67 2.8481530008946194
368 3.68 2.852100607792309
369 3.69 2.856019773304201
370 3.7 2.859910458879707
371 3.71 2.863772626273054
372 3.72 2.867606237541626
373 3.73 2.8714112550522444
374 3.74 2.8751876414726745
375 3.75 2.8789353597808827
376 3.7600000000000002 2.88265437325963
377 3.77 2.8863446454964183
378 3.7800000000000002 2.8900061403891826
379 3.79 2.893638822140776
380 3.8000000000000003 2.897242655261973
381 3.81 2.9008176045714755
382 3.8200000000000003 2.9043636351937643
383 3.83 2.9078807125638555
384 3.84 2.9113688024241107
385 3.85 2.9148278708257287
386 3.86 2.9182578841274704
387 3.87 2.9216588090000037
388 3.88 2.925030612417263
389 3.89 2.928373261668934
390 3.9 2.9316867243522005
391 3.91 2.9349709683704077
392 3.92 2.9382259619426137
393 3.93 2.9414516735935408
394 3.94 2.9446480721602413
395 3.95 2.9478151267901858
396 3.96 2.9509528069411353
397 3.97 2.9540610823815143
398 3.98 2.9571399231912103
399 3.99 2.9601892997608985
400 4.0 2.9632091827928555
401 4.01 2.9661995433016557
402 4.0200000000000005 2.9691603526113894
403 4.03 2.972091582359969
404 4.04 2.9749932044956893
405 4.05 2.977865191282344
406 4.0600000000000005 2.980707515289474
407 4.07 2.9835201494062673
408 4.08 2.9863030668305335
409 4.09 2.9890562410718005
410 4.1 2.9917796459545016
411 4.11 2.9944732556161497
412 4.12 2.997137044506619
413 4.13 2.999770987386178
414 4.14 3.0023750593329765
415 4.15 3.0049492357360386
416 4.16 3.007493492296941
417 4.17 3.010007805033812
418 4.18 3.0124921502746176
419 4.19 3.014946504664227
420 4.2 3.01737084515943
421 4.21 3.019765149031354
422 4.22 3.0221293938649083
423 4.23 3.024463557559976
424 4.24 3.026767618329565
425 4.25 3.0290415547017346
426 4.26 3.031285345517521
427 4.2700000000000005 3.033498969932122
428 4.28 3.035682407418495
429 4.29 3.0378356377580786
430 4.3 3.039958641053886
431 4.3100000000000005 3.042051397716044
432 4.32 3.0441138884755823
433 4.33 3.046146094372549
434 4.34 3.048147996768087
