n s phi1 d4_phi1 phi2 d4_phi2 phi3 phi4 phi5
21 0.21 0.0034551340989201207 0.0005164732077310596 0.002681876789731266 0.0002204339034778816 0.0038767504879923254 0.011780367854699603 -0.008845825452603637
22 0.22 0.003619455192305332 0.0005149859874822955 0.002809466668751995 0.00021997739325194826 0.004061263762637379 0.012341211857496537 -0.009266999793949016
23 0.23 0.0037837474517863345 0.0005135024752495705 0.0029370401527081327 0.00021952170264826032 0.004245763990620072 0.012902038263608473 -0.009688166359859765
24 0.24 0.0039480096271465315 0.0005120226624684678 0.0030645965220285204 0.0002190668302994447 0.004430250588563472 0.013462846267866202 -0.010109324789892973
25 0.25 0.00411224047330383 0.0005105465405934658 0.003192135059337936 0.00021861277484031913 0.004614722973924262 0.014023635064638162 -0.010530474722992567
26 0.26 0.004276438750296263 0.0005090741010978958 0.0033196550494513366 0.0002181595349078886 0.004799180564991512 0.014584403847832605 -0.010951615797486491
27 0.27 0.004440603223268558 0.0005076053354739045 0.003447155779370492 0.0002177071091413417 0.00498362278088435 0.015145151810895208 -0.011372747651086798
28 0.28 0.004604732662454203 0.0005061402352324114 0.0035746365382775674 0.00021725549618204743 0.005168049041555545 0.01570587814680735 -0.011793869920888309
29 0.29 0.0047688258431631825 0.0005046787919030691 0.0037020966175335818 0.00021680469467355196 0.005352458767787033 0.01626658204809467 -0.012214982243369948
30 0.3 0.004932881545769097 0.000503220997034224 0.003829535310670394 0.00021635470326157485 0.005536851381189617 0.01682726270681617 -0.012636084254391236
31 0.31 0.005096898555689566 0.0005017668421928757 0.003956951913388046 0.00021590552059400588 0.005721226304203686 0.01738791931456979 -0.013057175589194489
32 0.32 0.0052608756633759635 0.0005003163189646366 0.004084345723551652 0.0002154571453209016 0.005905582960097938 0.0179485510624926 -0.01347825588240223
33 0.33 0.0054248116642960365 0.0004988694189536927 0.004211716041184081 0.00021500957609448193 0.00608992077296816 0.01850915714125867 -0.013899324768018126
34 0.34 0.00558870535892253 0.0004974261337827632 0.004339062168463519 0.00021456281156912702 0.006274239167735618 0.019069736741083365 -0.01432038187942436
35 0.35000000000000003 0.00575255555271631 0.0004959864550930618 0.004466383409716827 0.0002141168504013731 0.006458537570148165 0.019630289051718652 -0.014741426849384037
36 0.36 0.005916361056110819 0.0004945503745442555 0.00459367907141793 0.00021367169124991033 0.006642815406778357 0.02019081326245792 -0.015162459310037318
37 0.37 0.006080120684501644 0.0004931178838144265 0.0047209484621814415 0.00021322733277557822 0.006827072105023785 0.0207513085621287 -0.015583478892903416
38 0.38 0.006243833258228526 0.0004916889746000321 0.004848190892759743 0.00021278377364136313 0.007011307093103242 0.021311774139102235 -0.01600448522887811
39 0.39 0.006407497602563539 0.0004902636386158654 0.004975405676034758 0.00021234101251239445 0.007195519800061029 0.02187220918128413 -0.016425477948234513
40 0.4 0.006571112547693381 0.0004888418675950156 0.005102592127019134 0.00021189904805594124 0.007379709655760791 0.02243261287612308 -0.016846456680621263
41 0.41000000000000003 0.006734676928710437 0.00048742365328882995 0.0052297495628481835 0.00021145787894140945 0.0075638760908892655 0.022992984410605988 -0.017267421055063764
42 0.42 0.006898189585592851 0.00048600898746687234 0.005356877302774107 0.00021101750384033767 0.007748018536952589 0.023553322971257007 -0.017688370699961556
43 0.43 0.007061649363194922 0.00048459786191688793 0.00548397466816674 0.00021057792142639467 0.007932136426275799 0.024113627744144772 -0.01810930524308843
44 0.44 0.0072250551112302275 0.0004831902684447602 0.005611040982504326 0.00021013913037537537 0.00811622919200522 0.02467389791486929 -0.018530224311592527
45 0.45 0.007388405684258581 0.00048178619887447456 0.005738075571370564 0.00020970112936519788 0.008300296268102997 0.025234132668579823 -0.018951127531995016
46 0.46 0.007551699941670542 0.0004803856450480784 0.005865077762453347 0.0002092639170759005 0.008484337089349037 0.025794331189955555 -0.019372014530189635
47 0.47000000000000003 0.007714936747676482 0.0004789885988256435 0.005992046885533529 0.0002088274921896374 0.008668351091340565 0.026354492663222595 -0.019792884931441865
48 0.48 0.00787811497128893 0.000477595052085226 0.006118982272487618 0.00020839185339067642 0.008852337710490349 0.026914616272143366 -0.02021373836038906
49 0.49 0.008041233486311528 0.000476204996722829 0.006245883257278789 0.00020795699936539496 0.00903629638402581 0.027474701200025375 -0.02063457444103914
50 0.5 0.00820429117132293 0.00047481842465236303 0.006372749175954533 0.00020752292880227716 0.009220226549990523 0.028034746629706064 -0.02105539279677031
51 0.51 0.008367286909664706 0.0004734353278056088 0.00649957936664286 0.0002070896403919106 0.009404127647237803 0.028594751743573232 -0.021476193050330245
52 0.52 0.008530219589426125 0.000472055698132178 0.006626373169546292 0.00020665713282698244 0.009587999115438395 0.02915471572355044 -0.021896974823836096
53 0.53 0.008693088103430613 0.00047067952759947566 0.006753129926936774 0.00020622540480227673 0.009771840395072562 0.029714637751101947 -0.02231773773877299
54 0.54 0.008855891349223433 0.0004693068081926611 0.006879848983156106 0.00020579445501467104 0.00995565092743289 0.030274517007233992 -0.02273848141599387
55 0.55 0.009018628229053971 0.0004679375319146108 0.0070065296846059735 0.0002053642821631331 0.010139430154620072 0.030834352672491905 -0.023159205475719563
56 0.56 0.00918129764986736 0.0004665716907858799 0.007133171379745243 0.00020493488494871716 0.010323177519550059 0.03139414392696149 -0.023579909537536553
57 0.5700000000000001 0.009343898523287653 0.00046520927684466466 0.007259773419089149 0.0002045062620745616 0.010506892465941275 0.031953889950271264 -0.02400059322039831
58 0.58 0.00950642976560323 0.00046385028214676415 0.007386335155199444 0.00020407841224588465 0.010690574438326245 0.03251358992158815 -0.024421256142623207
59 0.59 0.009668890297755695 0.00046249469876554253 0.0075128559426866776 0.00020365133416998216 0.010874222882041984 0.03307324301962439 -0.02484189792189498
60 0.6 0.009831279045324326 0.00046114251879189193 0.007639335138197069 0.00020322502655622317 0.01105783724323292 0.03363284842262759 -0.025262518175260734
61 0.61 0.009993594938515149 0.0004597937343341946 0.007765772100418289 0.00020279948811604797 0.011241416968850698 0.03419240530839307 -0.025683116519132174
62 0.62 0.010155836912143335 0.0004584483375182845 0.00789216619006703 0.00020237471756296376 0.011424961506651482 0.034751912854249556 -0.026103692569283743
63 0.63 0.01031800390562404 0.00045710632048741155 0.00801851676988903 0.00020195071361254197 0.011608470305196461 0.03531137023707792 -0.026524245940852342
64 0.64 0.010480094862954537 0.0004557676754022024 0.008144823204655038 0.00020152747498241523 0.011791942813850181 0.0358707766332918 -0.026944776248336882
65 0.65 0.010642108732705768 0.00045443239444062486 0.008271084861151724 0.00020110500039227313 0.011975378482780963 0.036430131218850914 -0.027365283105597688
66 0.66 0.01080404446800498 0.0004531004697979494 0.00839730110818502 0.00020068328856386053 0.012158776762959983 0.03698943316925629 -0.027785766125855427
67 0.67 0.010965901026523728 0.000451771893686713 0.008523471316570108 0.00020026233822097286 0.012342137106160528 0.0375486816595475 -0.028206224921690892
68 0.68 0.011127677370464495 0.00045044665833668087 0.008649594859128397 0.0001998421480894539 0.012525458964954606 0.03810787586431563 -0.028626659105045124
69 0.6900000000000001 0.011289372466548153 0.000449124755994811 0.008775671110685605 0.00019942271689719232 0.012708741792717332 0.038667014957681656 -0.02904706828721705
70 0.7000000000000001 0.011450985285999582 0.0004478061789252159 0.008901699448065452 0.00019900404337411807 0.01289198504362149 0.03922609811331995 -0.029467452078865045
71 0.71 0.011612514804534735 0.0004464909194091268 0.009027679250083374 0.0001985861262521997 0.013075188172639612 0.03978512450444094 -0.02988781009000431
72 0.72 0.011773960002348371 0.00044517896974485615 0.009153609897548529 0.0001981689642654411 0.01325835063554312 0.040344093303799955 -0.03030814193000754
73 0.73 0.011935319864099403 0.0004438703222477618 0.009279490773253407 0.00019775255614987806 0.01344147188889891 0.04090300368369537 -0.03072844720760423
74 0.74 0.012096593378898235 0.000442564969250209 0.009405321261974006 0.00019733690064357515 0.013624551390071404 0.04146185481596959 -0.031148725530880134
75 0.75 0.012257779540295666 0.0004412629031015357 0.009531100750462505 0.00019692199648662284 0.01380758859722192 0.04202064587200427 -0.03156897650727512
76 0.76 0.012418877346266455 0.00043996411616801476 0.00965682862744354 0.0001965078424211339 0.01399058296930561 0.04257937602272738 -0.03198919974358527
77 0.77 0.012579885799198443 0.00043866860083281836 0.009782504283613727 0.0001960944371912405 0.014173533966072738 0.043138044438611745 -0.03240939484596014
78 0.78 0.012740803905879616 0.0004373763494959806 0.009908127111633212 0.00019568177954309112 0.014356441048067575 0.04369665028967168 -0.03282956141990319
79 0.79 0.012901630677484621 0.0004360873545743631 0.010033696506122604 0.0001952698682248472 0.01453930367662673 0.04425519274546519 -0.033249699070270866
80 0.8 0.013062365129560383 0.0004348016085016171 0.010159211863659812 0.0001948587019866799 0.01472212131388026 0.04481367097509442 -0.03366980740127186
81 0.81 0.013223006282017002 0.00043351910372814873 0.010284672582776572 0.0001944482795807672 0.014904893422748977 0.04537208414720478 -0.0340898860164669
82 0.8200000000000001 0.013383553159110884 0.0004322398327210821 0.010410078063951056 0.00019403859976129093 0.015087619466945479 0.04593043142998926 -0.0345099345187682
83 0.8300000000000001 0.013544004789434239 0.00043096378796422384 0.010535427709608351 0.00019362966128443296 0.015270298910970648 0.04648871199118082 -0.034929952510438386
84 0.84 0.013704360205901989 0.00042969096195802765 0.010660720924111314 0.00019322146290837272 0.015452931220116567 0.04704692499805785 -0.035349939593089796
85 0.85 0.013864618445738275 0.00042842134721955737 0.01078595711376109 0.00019281400339328362 0.01563551586046419 0.04760506961744421 -0.03576989536768545
86 0.86 0.014024778550463857 0.00042715493628245273 0.010911135686789301 0.00019240728150133032 0.015818052298882168 0.04816314501571217 -0.036189819434536294
