x y
0 -7.84587625692479e-10
1 118.88803087278461
2 237.17373254206677
3 354.25560477456975
4 469.5389176451863
5 582.4415119837904
6 692.3989285011912
7 798.8689097805709
8 901.3353169719867
9 999.3115008133482
10 1092.3431645343771
11 1180.0107541436428
12 1261.931409721392
13 1337.7605095554354
14 1407.1928371741633
15 1469.9633997643796
16 1525.8479248638432
17 1574.6630607604384
18 1616.2663046185953
19 1650.5556810650487
20 1677.4691926343112
21 1696.984062351541
22 1709.1157875467106
23 1713.9170229705014
24 1711.4763101724893
25 1701.9166692914441
26 1685.394068324371
27 1662.0957842069256
28 1632.2386691677457
29 1596.067335059175
30 1553.8522676464127
31 1505.8878821353792
32 1452.4905306023284
33 1393.9964713367735
34 1330.7598095989742
35 1263.150418674144
36 1191.5518496800141
37 1116.3592380433402
38 1037.9772141615686
39 956.817825337821
40 873.2984756597361
41 787.839890169118
42 700.8641093311162
43 612.7925194324562
44 524.043924353653
45 435.0326637890248
46 346.166782818269
47 257.84625743438664
48 170.46128049126855
49 84.39061229732033
50 -8.130882633849978e-08
51 -82.35933087201556
52 -162.3521072633448
53 -239.6603610098391
54 -313.9846964477765
55 -385.0454714688749
56 -452.5838880928859
57 -516.3629893337347
58 -576.16855910288
59 -631.8099219710784
60 -683.1206395695044
61 -729.9591005036273
62 -772.2090006152939
63 -809.7797104048295
64 -842.6065264632853
65 -870.6508036953164
66 -893.8999650784463
67 -912.3673856665118
68 -926.092147493342
69 -935.1386619342302
70 -939.5961560530777
71 -939.5780193087048
72 -935.2210069819121
73 -926.6842964946773
74 -914.148392734598
75 -897.8138783661198
76 -877.900004941439
77 -854.6431205242625
78 -828.2949293780039
79 -799.1205790823224
80 -767.3965703344584
81 -733.4084844230165
82 -697.4485232821899
83 -659.8128567508393
84 -620.7987715016316
85 -580.7016158885745
86 -539.8115347177009
87 -498.4099877351473
88 -456.76604537836465
89 -415.13245508270484
90 -373.74147116782115
91 -332.8004410788635
92 -292.48714045216184
93 -252.9448491972762
94 -214.27716048460206
95 -176.54251420956098
96 -139.7484461838667
97 -103.84554397253123
98 -68.72109994371067
99 -34.19245173559261
100 1.6442459342058394e-09
