x y
0 5.74674122277331e-11
1 125.88982780550172
2 250.5992531350216
3 373.0689379755578
4 492.3633306759537
5 607.6620121301355
6 718.2515213793409
7 823.5176370566173
8 922.9380921788314
9 1016.075700821975
10 1102.5718761930443
11 1182.1405205644764
12 1254.562268432624
13 1319.6790651178458
14 1377.3890638597886
15 1427.6418252346903
16 1470.4338034850432
17 1505.8041050619036
18 1533.8305053774325
19 1554.6257104108383
20 1568.3338504490146
21 1575.1271938354512
22 1575.203069180461
23 1568.7809850241422
24 1556.0999364809084
25 1537.4158888763723
26 1512.9994288811843
27 1483.1335740913014
28 1448.111732444222
29 1408.235803274249
30 1363.8144122092372
31 1315.1612724882539
32 1262.5936656405702
33 1206.4310348156591
34 1146.993684376528
35 1084.6015796919605
36 1019.5732413547094
37 952.2247283460533
38 882.8687049356072
39 811.8135863672715
40 739.362758632124
41 665.8138678654354
42 591.4581751269143
43 516.5799725486058
44 441.456057027935
45 366.3552578499048
46 291.5380148017248
47 217.256003526114
48 143.7518050255344
49 71.25861639315463
50 -1.2905729818157852e-09
51 -69.8103314951577
52 -137.9686967707862
53 -204.28159650079215
54 -268.5658352258365
55 -330.6486165723609
56 -390.36761379857853
57 -447.5710175528102
58 -502.11756262378367
59 -553.8765353596236
60 -602.7277633445169
61 -648.5615888303287
62 -691.2788273326373
63 -730.7907127274966
64 -767.0188301011281
65 -799.8950375361455
66 -829.3613779497618
67 -855.3699820306178
68 -877.8829632609345
69 -896.8723059521894
70 -912.3197471636345
71 -924.2166533251889
72 -932.5638923281801
73 -937.3717018086456
74 -938.6595542949631
75 -936.4560198535171
76 -930.7986268239379
77 -921.7337211970182
78 -909.3163251525875
79 -893.609995239148
80 -874.686680647425
81 -852.6265819948478
82 -827.5180110137676
83 -799.4572515047198
84 -768.5484218940328
85 -734.9033397066707
86 -698.6413882461814
87 -659.8893857489493
88 -618.7814572610488
89 -575.458909467598
90 -530.0701086825637
91 -482.77036219736465
92 -433.72180316096865
93 -383.0932791595096
94 -331.06024464043213
95 -277.8046573196594
96 -223.514878694191
97 -168.38557877259487
98 -112.61764512518064
99 -56.41809634465311
100 -1.0090213223900929e-10
