x y
0 -8.923103334708381e-10
1 114.19981659571476
2 228.4413805883105
3 342.5990351644432
4 456.39518357608176
5 569.4310046425417
6 681.2140478111542
7 791.1829182224828
8 898.7292510371117
9 1003.2171638303116
10 1104.0003659823342
11 1200.4370942445385
12 1291.9030347658845
13 1377.8023832834442
14 1457.5771867759613
15 1530.7151023145561
16 1596.75570132531
17 1655.2954403514013
18 1705.9914127953525
19 1748.5639898288355
20 1782.798452277857
21 1808.545709897051
22 1825.7221986764926
23 1834.3090418985812
24 1834.350555202458
25 1825.952172011719
26 1809.2778602911858
27 1784.5470980048703
28 1752.0314703093609
29 1712.050947726355
30 1664.9699008633033
31 1611.192903721967
32 1551.160374458559
33 1485.3440989967785
34 1414.24268035774
35 1338.3769531004073
36 1258.2854000931256
37 1174.5196057673602
38 1087.6397778110113
39 998.2103667802876
40 906.7958105991711
41 813.9564290749258
42 720.2444912913488
43 626.2004764421436
44 532.3495472784853
45 439.1982528879307
46 347.23147610365413
47 256.9096387101454
48 168.66617625037907
49 82.90529230047832
50 4.3422915041446686e-07
51 -79.70953922814806
52 -155.91738408981473
53 -228.3528699883318
54 -296.78136712883133
55 -361.0047305492044
56 -420.86144629560295
57 -476.22647592722205
58 -527.0108035793237
59 -573.1606914278818
60 -614.6566507636162
61 -651.512137863494
62 -683.771985142288
63 -711.5105798344302
64 -734.8298042653187
65 -753.8567535353359
66 -768.7412480257335
67 -779.6531602871837
68 -786.7795776579296
69 -790.3218239872658
70 -790.4923660008935
71 -787.5116318364162
72 -781.6047717938491
73 -772.9983935230412
74 -761.9173062837217
75 -748.5813118978986
76 -733.2020820552716
77 -715.9801650334848
78 -697.102167730889
79 -676.7381616652128
80 -655.0393656000379
81 -632.1361598797375
82 -608.1364922425128
83 -583.1247378412227
84 -557.1610805792734
85 -530.2814870188595
86 -502.49834841510165
87 -473.8018711532641
88 -444.16230065503623
89 -413.5330691205163
90 -381.8549625160813
91 -349.06140832857636
92 -315.0849911055557
93 -279.865309478555
94 -243.35829462543916
95 -205.54711724008666
96 -166.4548173118601
97 -126.15879864856106
98 -84.80733816371867
99 -42.6382682778094
100 1.3656254030083852e-08
